"Time","judi online","slot gacor","togel online","judi slot","situs judi","slot88","Pragmatic play","gacor hari ini"
"2021-06-01",0,0,0,0,0,0,0,0
"2021-07-01",0,0,0,0,0,0,0,0
"2021-08-01",0,0,0,0,0,0,0,0
"2021-09-01",0,0,0,0,0,0,0,0
"2021-10-01",0,0,0,0,0,0,0,0
"2021-11-01",0,0,0,0,0,0,0,0
"2021-12-01",0,0,0,0,0,0,0,0
"2022-01-01",0,0,0,0,0,0,0,0
"2022-02-01",0,0,0,0,0,0,0,0
"2022-03-01",0,0,0,0,0,0,0,0
"2022-04-01",0,0,0,0,0,0,0,0
"2022-05-01",1,0,0,1,0,0,0,0
"2022-06-01",0,0,0,1,0,0,0,0
"2022-07-01",1,0,0,2,0,0,0,0
"2022-08-01",1,0,0,1,0,0,0,0
"2022-09-01",0,0,0,1,0,0,0,0
"2022-10-01",0,0,0,0,0,0,0,0
"2022-11-01",0,0,0,1,0,0,0,0
"2022-12-01",0,0,0,1,0,0,0,0
"2023-01-01",0,0,0,1,0,0,0,0
"2023-02-01",0,0,0,1,0,0,0,0
"2023-03-01",0,0,0,0,0,0,0,0
"2023-04-01",1,0,0,1,0,0,0,0
"2023-05-01",0,1,0,0,0,0,0,0
"2023-06-01",0,1,0,0,0,0,0,0
"2023-07-01",0,1,0,0,0,0,0,0
"2023-08-01",0,1,0,0,0,0,0,0
"2023-09-01",0,1,0,0,0,0,0,0
"2023-10-01",0,1,0,0,0,0,0,0
"2023-11-01",0,1,0,0,0,0,0,0
"2023-12-01",0,1,0,0,0,0,0,0
"2024-01-01",0,1,0,0,0,0,0,0
"2024-02-01",0,1,0,0,0,0,0,0
"2024-03-01",0,1,0,0,0,0,0,0
"2024-04-01",0,1,0,0,0,0,0,0
"2024-05-01",0,1,0,0,0,0,0,0
"2024-06-01",0,1,0,0,0,0,0,0
"2024-07-01",0,5,0,0,0,0,0,0
"2024-08-01",0,5,0,1,0,0,0,0
"2024-09-01",1,5,0,1,0,0,0,0
"2024-10-01",1,8,0,1,0,0,0,0
"2024-11-01",1,11,1,2,2,0,0,0
"2024-12-01",1,18,0,3,2,0,0,1
"2025-01-01",1,34,0,5,3,1,0,2
"2025-02-01",3,49,0,8,5,1,0,8
"2025-03-01",1,61,0,2,2,1,0,2
"2025-04-01",2,76,0,5,3,1,0,1
"2025-05-01",2,76,1,5,3,2,0,1
"2025-06-01",2,100,2,5,3,1,0,1
"2025-07-01",2,76,3,6,3,1,0,0
"2025-08-01",1,52,2,6,3,1,0,1
"2025-09-01",1,24,0,2,1,1,0,1
"2025-10-01",0,4,0,1,1,0,0,0
"2025-11-01",0,3,0,0,0,0,0,0
"2025-12-01",0,3,0,0,0,0,0,0
"2026-01-01",0,5,0,0,0,0,0,0
"2026-02-01",0,5,0,0,0,0,0,0
"2026-03-01",0,4,0,0,0,0,0,0
"2026-04-01",0,2,0,0,0,0,0,0
"2026-05-01",0,2,0,0,0,0,0,0
"2026-06-01",0,2,0,0,0,0,0,0
